angliski;latviski;vērtība;atsauce
I recently heard a story about someone who missed time management training as they hadn't planned their week out properly.  ;"""Taukains sprediķis ir tad, ja sprediķim nav satura."" ";1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
... enjoy the same public freedoms as English speakers, since our second official language isn't French.;... baudīt tādas pašas sabiedriskās brīvības kā angliski runājošie, jo mūsu otrā oficiālā valoda nav franču valoda.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
...and we have a future lawyer with us soooo... dumb squad?? ;...un ar mums kopā ir nākotnes jurists, tā ka... tumsonīgais pulciņš??? ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
..aaand it's raining again after I left my umbrella in the car. Today just gets better and better;...un atkal līst lietus pēc tam, kad atstāju lietussargu mašīnā. Šodien kļūst arvien labāk un labāk.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
1 of my favorite things is being behind someone going 25 in a 35 or people on their phones when light turns green ;1 no manām mīļākajām lietām ir atrasties aiz kāda, kas brauc 25 ar 35, vai cilvēkiem, kas runā pa telefonu, kad iedegas zaļa gaisma. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
the top 1 percent owns over half of the world's household wealth;1 procentam iedzīvotāju pieder vairāk nekā puse no pasaules mājsaimniecību bagātības;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
1 hour into surfing today and I get stung by a Sting Ray...not like I am officiating a wedding later today or anything. ;1 stunda sērfošanas šodien, un mani dzeloņstieple... Ne tā, ka es šodien vēlāk vadīšu kāzas vai kaut ko tamlīdzīgu. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
10 days until move in day and I'm having surgery. Good job knee, way to act up at just the right time!;10 dienas līdz pārcelšanās dienai, un man ir operācija. Labs darbs ceļgalā, kā rīkoties īstajā brīdī!;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
the 10 best cities for college grads in 2015;10 labākās pilsētas koledžu absolventiem 2015. gadā;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 10 best marketing tweets i've ever seen;10 labākie mārketinga tvīti, kādus esmu redzējis;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the top 10 wedding planning myths;10 lielākie mīti par kāzu plānošanu;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
A 10 minute mandatory video on using a web form? Awesome.;10 minūšu obligāts video par tīmekļa veidlapas lietošanu? Lieliski.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
the 10 busiest days for summer travel;10 noslogotākās vasaras ceļojumu dienas;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 10 carpet design styles you need to know;10 paklāju dizaina stili, kas jums jāzina;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
10 thousand spoons when all you need is a knife, it's like meeting the man of my dreams then meeting his beautiful wife ;10 tūkstoši karotīšu, kad viss, kas tev vajadzīgs, ir nazis, tas ir tāpat kā satikt savu sapņu vīrieti un tad satikt viņa skaisto sievu. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
10.5 hours of OT on Labor Day watching people who don't have jobs party.;10,5 stundas darba dienā skatījos, kā cilvēki, kuriem nav darba, ballējas.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
Programming a Year 10 chemistry unit - my favourite thing to do on Sunday afternoons while baby is sleeping ;10. klases ķīmijas bloka programmēšana - mana mīļākā nodarbe svētdienas pēcpusdienās, kamēr bērns guļ ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
swarm of 100 drones dance to beethoven's 'symphony no. 5' in the night sky;"100 bezpilota lidaparātu pulks dejo Bēthovena ""Simfonijā Nr. 5"" nakts debesīs";0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
11-year-old rape victim gives birth in Paraguay because of strict abortion laws.;11 gadus veca izvarošanas upure dzemdē Paragvajā stingro abortu likumu dēļ.;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
the 11 most outrageous celebrity outfits of 2015;11 skandalozākie slavenību tērpi 2015. gadā;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 9/11 flag from ground zero is missing;11. septembra karogs no nulles zemes ir pazudis;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
parents of 12-year-old say son killed himself after being bullied over sexuality;12 gadus veca dēla vecāki apgalvo, ka dēls izdarīja pašnāvību pēc tam, kad viņu iebiedēja seksualitātes dēļ;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 12 craziest outfits celebrities wore in november;12 trakākie tērpi, ko slavenības valkāja novembrī;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
the 14 new style stars who will light up the red carpet in 2016;14 jaunā stila zvaigznes, kas 2016. gadā uzmirdzēs uz sarkanā paklāja;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
$15 minimum wage in New York soon to start? Wow. Glad I got a college degree;15 dolāru minimālā alga Ņujorkā drīzumā sāksies? Vau. Priecājos, ka esmu ieguvis koledžas grādu;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
18 hours of travelling and I'm feeling utterly fresh ;18 stundas ceļojuma, un es jūtos pilnīgi svaigs. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
on 18th birthday, bindi irwin shares photo of steve irwin full of 'love and light';"18. dzimšanas dienā Bindi Irvina dalās ar Stīva Irvina fotoattēlu, kas pilns ""mīlestības un gaismas"".";0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
2 out of 5 do not have optimized mobile landing pages. That's in a room of digital marketers. ;2 no 5 nav optimizētas mobilās mērķlapas. Tas ir digitālā mārketinga speciālistu istabā. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
2 players who have not scored 4 me n cost me over 800 bar when I backed em have both scored tonight against clubs I've got in my bet ;2 spēlētāji, kuri nav guvuši vārtus 4 man n man izmaksāja vairāk nekā 800 bar, kad es tos atbalstīju, šovakar abi guva vārtus pret klubiem, kurus es esmu ielicis savā likmē. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
2 complaints filed by the same pt advocate in the same day: too much pain med causing sedation, not enough pain med to cause sedation ;2 sūdzības, ko viena un tā pati pacienta advokāte iesniegusi vienā dienā: pārāk daudz pretsāpju medikamentu, kas izraisa sedāciju, nepietiekams pretsāpju medikamentu daudzums, lai izraisītu sedāciju. ;1;https://www.kaggle.com/datasets/nikhiljohnk/tweets-with-sarcasm-and-irony
the 20 funniest tweets from women this week;20 smieklīgākie sieviešu tvīti šonedēļ;0;https://www.kaggle.com/datasets/rmisra/news-headlines-dataset-for-sarcasm-detection
