teksts;vērtība;atsauce
– Ar ko programmētājs atšķiras no politiķa? – Programmētājam maksā par programmām, kas strādā.;1;https://anekdotes.eu/page/127
– Mīļais, atbrauc man pakaļ uz plastiskās ķirurģijas klīniku! – Nu, dārgā, kā es tevi atpazīšu?;1;https://anekdotes.eu/page/6
"""Bayer"" uzlabo Bundeslīgas komandu rekordu nezaudēto spēļu virknē";0;https://sportacentrs.com/futbols/vacija/24022024-bayer_uzstada_bundesligas_komandu_rekordu
"""LDz loģistikas"" apgrozījums pērn ievērojami sarucis";0;https://www.tvnet.lv/7981659/ldz-logistikas-apgrozijums-pern-ieverojami-sarucis
"""Rangers"" hokejisti izcīna devīto uzvaru pēc kārtas";0;https://sportacentrs.com/hokejs/nhl/23022024-rangers_hokejisti_izcina_devito_uzvaru_pe
"""Žalgiris"" treneris komentējis Šmita traumas nopietnību";0;https://sports.tvnet.lv/7981795/zalgiris-treneris-komentejis-smita-traumas-nopietnibu?_gl=1*11mazb3*_gcl_au*MTk2NDcxMDUzNy4xNzA4OTY0OTA2&_ga=2.259346441.2078263571.1710698918-501664052.1708964906
“Mēs varam labāk” iekārtot amatos savus ielikteņus un palīdzēt savu politiķu radiem un draugiem uzvarēt valsts iestāžu iepirkumu konkursos.;1;https://twitter.com/Rita_Medne/status/1670748170681188353
“Rīgas satiksme” gandarīta, ka jaunie elektroautobusi attaisnojuši cerības;0;https://zinas.tv3.lv/latvija/sabiedriba/rigas-satiksme-gandarita-ka-jaunie-elektroautobusi-attaisnojusi-ceribas/
“Rīgas satiksme” publicējusi detalizētu skaidrojumu par šī rīta tramvaju un trolejbusu kavēšanos;0;https://www.tvnet.lv/7974764/rigas-satiksme-publicejusi-detalizetu-skaidrojumu-par-si-rita-tramvaju-un-trolejbusu-kavesanos
“TDL School” piedāvā sešus mēnešus ilgu IT pārkvalifikācijas programmu;0;https://www.tvnet.lv/7956800/tdl-school-piedava-sesus-menesus-ilgu-it-parkvalifikacijas-programmu
“tet” izmantos mākslīgo intelektu, lai zinātu klientu emocijas telefonzvanu laikā;0;https://zinas.tv3.lv/zinatne-un-tehnologijas/tet-izmantos-maksligo-intelektu-lai-analizetu-klientu-emocijas-telefonzvanu-laika/
10 populāri salāti, ko jāmāk pagatavot katram;0;https://receptes.tvnet.lv/7428375/10-populari-salati-ko-jamak-pagatavot-katram
11 bērnu māte paziņoja, ka pilnai kolekcijai viņai vēl trūkst Ūdensvīra;1;https://spoki.lv/joki/Smiekligi-joki-labakam-garastavoklim/923121
3 produkti, kurus brokastīs nevajadzētu ēst cilvēkiem ar cukura diabētu;0;https://lifehacks.nra.lv/uzturs/447821-3-produkti-kurus-brokastis-nevajadzetu-est-cilvekiem-ar-cukura-diabetu/?_gl=1*1yc1x7c*_ga*MTY5MDg4MzA1MC4xNzA4MjQyMjAx*_ga_LTMBW853YH*MTcwODg3NzgwNS42LjEuMTcwODg3ODA5OS4wLjAuMA..#google_vignette
5.tramvaju ļoti bieži izmanto braucienam no Sarkandaugavas uz Pārdaugavu. Līdz Iļģuciemam gan nav vērts braukt, tur piekrītu;0;https://twitter.com/iriwa/status/1768743950779650553
6. marts, plkst. 18.47. Vēl nav tumšs. Ar ilgošanos gaidu pāreju uz vasaras laiku, labāko dienu visā martā. Mani personīgie saulgrieži.;0;https://twitter.com/mordaans/status/1765420415801778547
